Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
1tb laptop hdd 2.5 toshiba / seagate  good as new 7days warranty,10426,Ssd & storage,1.000,2399.00,0.000,0.00,0.00,2399.00,850.00,1549.00,64.57%,0.00
1TB LAPTOP HDD STORAGE (DISCOUNT),10723,Ssd & storage,19.000,26141.00,0.000,0.00,1048.00,25093.00,15050.01,10042.99,40.02%,905.52
1TB M.2 2280 R600 SSD RAMSTA (DISCOUNT),10273,Big Letter,3.000,4100.00,0.000,0.00,0.00,4100.00,2400.00,1700.00,41.46%,0.00
1TB M.2 NVME INTEL SSD (WS),10228,Ssd & storage,1.000,5400.00,0.000,0.00,0.00,5400.00,0.00,5400.00,100.00%,0.00
1tb m.2 ssd ramsta r600 ngff / 22x80mm (RLR352911SA00153),11028,Ssd & storage,4.000,15597.00,0.000,0.00,59.98,15537.02,13012.64,2524.38,16.25%,0.00
1tb m.2 ssd ramsta r600 ngff / 22x80mm (RLR352911SA00177),10939,Ssd & storage,1.000,4800.00,0.000,0.00,0.00,4800.00,2850.00,1950.00,40.63%,0.00
1tb m.2 ssd ramsta r600 ngff / 22x80mm (RLR352911SA00193),10940,Ssd & storage,1.000,4800.00,0.000,0.00,0.00,4800.00,2850.00,1950.00,40.63%,0.00
1tb m.2 ssd ramsta r600 ngff / 22x80mm (RLR352911SA00194),10941,Ssd & storage,1.000,4800.00,0.000,0.00,0.00,4800.00,2850.00,1950.00,40.63%,0.00
1TB SSD PATRIOT (DISCOUNT),10721,Ssd & storage,4.000,22800.00,0.000,0.00,0.00,22800.00,11673.20,11126.80,48.80%,0.00
1TB SSD PATRIOT (Ws),10723,Ssd & storage,1.000,3700.00,0.000,0.00,0.00,3700.00,0.00,3700.00,100.00%,0.00
1TB SSD RAMSTA (RLR482802SA00046),10762,Ssd & storage,10.000,34200.00,1.000,2600.00,78.71,31521.29,25840.06,5681.23,18.02%,0.00
1TB SSD RAMSTA (RLR482802SA00048),11311,Ssd & storage,1.000,3800.00,0.000,0.00,0.00,3800.00,2850.00,950.00,25.00%,0.00
1TB SSD RAMSTA (RLR482802SA00063),11317,Ssd & storage,1.000,3800.00,0.000,0.00,0.00,3800.00,2850.00,950.00,25.00%,0.00
1TB SSD RAMSTA (RLR482802SA00064),11318,Ssd & storage,1.000,3700.00,0.000,0.00,0.00,3700.00,2850.00,850.00,22.97%,0.00
1TB SSD RAMSTA (RLR482802SA00065),11319,Ssd & storage,1.000,3800.00,0.000,0.00,0.00,3800.00,2850.00,950.00,25.00%,342.00
1TB SSD RAMSTA (RLR482802SA00090),11323,Ssd & storage,1.000,3700.00,0.000,0.00,0.00,3700.00,2850.00,850.00,22.97%,0.00
1TB SSD RAMSTA (RLR482802SA00091),11321,Ssd & storage,1.000,3500.00,0.000,0.00,0.00,3500.00,2850.00,650.00,18.57%,0.00
20 inches hp HDMI surplus (cord),10465,best seller,10.000,350.00,0.000,0.00,0.00,350.00,0.00,350.00,100.00%,0.00
20 inches hp HDMI surplus (discount),10467,best seller,6.000,8350.00,0.000,0.00,0.00,8350.00,5719.86,2630.14,31.50%,0.00
20 inches hp HDMI surplus (wholesale),10591,best seller,2.000,2600.00,0.000,0.00,0.00,2600.00,1908.00,692.00,26.62%,0.00
20 inches nvision n200v8 (discounted),10586,best seller,57.000,106110.00,0.000,0.00,0.00,106110.00,88299.08,17810.92,16.79%,0.00
20 inches nvision n200v8 (ws),10585,best seller,203.000,375711.90,9.000,16662.00,3027.26,356022.64,307279.03,48743.61,13.69%,2257.22
